there are total 216 partitions   total nodes: 47773 
they are:
28481 41.895894, 123.551829
28484 41.895948, 123.550918
28485 41.896065, 123.548052
28487 41.896187, 123.546885
28489 4.189643, 123.545986
28492 41.896742, 123.545051
24213 41.896032, 123.544543
24206 41.895521, 123.544092
24207 41.894575, 123.543168
24208 41.894051, 123.542547
24209 41.893556, 123.542118
24210 41.893125, 123.541839
24211 41.890266, 123.540552
11664 41.889036, 123.539908
35100 41.893223, 123.556584
partition 21   2:
441 41.823215, 123.285689
442 41.822662, 123.290784
partition 22   115:
5195 41.908479, 123.348657
28583 41.908567, 123.348575
29467 4.190863, 12.334846
29468 41.908661, 123.348322
29469 41.908656, 123.348179
29478 41.908708, 123.348056
29479 4.190901, 123.347823
29480 41.910393, 123.346767
29481 41.910734, 123.346375
29482 41.910894, 123.346123
29483 41.911362, 123.345368
21886 41.911443, 123.345237
9105 41.908616, 123.348046
29492 41.908591, 123.348007
9254 41.910213, 123.346837
28956 41.910477, 123.346599
29486 41.910664, 123.346356
29485 41.910838, 123.346075
29484 41.911331, 123.345272
9255 41.908816, 123.347879
9257 41.908697, 123.347963
21883 41.911412, 123.345133
9106 41.908545, 123.347938
9107 41.908452, 123.347869
29457 41.908347, 123.347844
29458 41.908242, 123.347868
29459 41.908148, 123.347937
29460 41.908077, 123.348044
9124 41.908037, 123.348177
29470 41.908031, 12.334832
29432 41.908062, 123.348458
29430 41.908094, 123.348529
29440 41.906176, 123.349927
29436 41.906207, 123.350001
29437 41.906318, 123.350257
29438 41.907729, 123.353606
29431 41.904345, 123.351267
29434 41.904311, 123.351188
29433 41.904243, 123.351238
29389 41.893264, 123.327793
29391 41.893938, 123.328847
29392 41.894702, 123.330405
29393 41.895514, 123.332132
29394 41.898385, 123.338184
29408 41.901418, 123.344579
40735 41.901471, 1.233447
29425 41.892788, 123.327089
29423 4.189286, 123.327016
29410 41.893684, 123.326187
29409 41.897116, 123.322658
29411 41.892528, 12.332735
29412 41.891925, 123.327968
29413 41.891508, 12.332843
29415 41.891205, 123.328849
29416 41.890801, 123.329435
29417 41.890241, 123.330384
29418 41.889966, 123.330803
29419 41.889884, 123.330852
29420 41.889806, 12.333084
29421 41.889654, 123.330692
29422 4.188792, 123.328794
29386 41.890685, 123.324636
29406 4.189074, 123.324551
29405 4.189192, 123.325853
29404 41.892552, 123.326575
29388 41.892479, 123.326632
29397 41.903295, 123.348787
40731 41.901522, 123.344655
29407 4.190147, 123.344534
29398 41.900498, 123.342438
29399 41.897937, 123.337058
29400 41.895956, 123.332903
29401 41.894149, 123.329138
29402 41.893791, 123.328479
29403 41.893169, 12.332746
29426 41.904276, 123.351317
29395 41.905648, 123.354566
29396 41.905719, 123.354514
9125 41.908172, 123.348626
9126 4.190827, 123.348684
29471 41.908423, 123.349053
29472 41.908777, 12.334998
29473 41.909021, 123.350415
9177 41.909274, 1.233507
28645 4.190906, 123.350367
29476 41.908833, 123.349934
29477 41.908481, 123.349012
6234 41.911895, 123.351905
6243 41.912274, 123.351795
6237 41.912639, 123.351649
34323 41.912975, 123.351479
6240 41.911476, 123.351907
6239 4.191105, 123.351861
6235 4.191063, 123.351773
34324 41.910251, 123.351559
6238 41.909905, 12.335132
6242 41.909584, 123.351038
6241 41.913281, 123.351294
9075 41.906145, 123.349853
9079 41.904236, 123.345285
38649 41.903334, 123.343123
29435 41.903281, 123.343002
